video_id,total_examples,valid_answers,invalid_answers,empty_answers,overall_accuracy,valid_only_accuracy,support_label_0,precision_label_0,recall_label_0,f1_label_0,support_label_1,precision_label_1,recall_label_1,f1_label_1,true_0_pred_0,true_0_pred_1,true_1_pred_0,true_1_pred_1
Video23,192,192,0,0,0.828125,0.828125,88,0.7956989247311828,0.8409090909090909,0.8176795580110496,104,0.8585858585858586,0.8173076923076923,0.8374384236453203,74,14,19,85
Video24,192,192,0,0,0.765625,0.765625,99,0.8068181818181818,0.7171717171717171,0.7593582887700534,93,0.7307692307692307,0.8172043010752689,0.7715736040609137,71,28,17,76
Video25,192,192,0,0,0.7604166666666666,0.7604166666666666,87,0.6880733944954128,0.8620689655172413,0.7653061224489797,105,0.8554216867469879,0.6761904761904762,0.7553191489361701,75,12,34,71
Video26,192,192,0,0,0.828125,0.828125,101,0.8617021276595744,0.801980198019802,0.8307692307692307,91,0.7959183673469388,0.8571428571428571,0.8253968253968254,81,20,13,78
Video27,192,192,0,0,0.8385416666666666,0.8385416666666666,95,0.8636363636363636,0.8,0.8306010928961749,97,0.8173076923076923,0.8762886597938144,0.845771144278607,76,19,12,85
Video28,192,192,0,0,0.75,0.75,90,0.6981132075471698,0.8222222222222222,0.7551020408163266,102,0.813953488372093,0.6862745098039216,0.7446808510638299,74,16,32,70
Video29,192,192,0,0,0.7395833333333334,0.7395833333333334,99,0.7425742574257426,0.7575757575757576,0.75,93,0.7362637362637363,0.7204301075268817,0.7282608695652175,75,24,26,67
Video30,192,192,0,0,0.8125,0.8125,92,0.7978723404255319,0.8152173913043478,0.8064516129032258,100,0.826530612244898,0.81,0.8181818181818183,75,17,19,81
Video31,192,192,0,0,0.75,0.75,89,0.7662337662337663,0.6629213483146067,0.7108433734939759,103,0.7391304347826086,0.8252427184466019,0.779816513761468,59,30,18,85
Video32,192,192,0,0,0.84375,0.84375,94,0.8404255319148937,0.8404255319148937,0.8404255319148938,98,0.8469387755102041,0.8469387755102041,0.8469387755102041,79,15,15,83
Video33,192,192,0,0,0.796875,0.796875,93,0.7934782608695652,0.7849462365591398,0.7891891891891891,99,0.8,0.8080808080808081,0.8040201005025126,73,20,19,80
Video34,192,192,0,0,0.7708333333333334,0.7708333333333334,92,0.7105263157894737,0.8804347826086957,0.7864077669902914,100,0.8589743589743589,0.67,0.7528089887640449,81,11,33,67
Video35,192,192,0,0,0.7552083333333334,0.7552083333333334,84,0.7078651685393258,0.75,0.7283236994219654,108,0.7961165048543689,0.7592592592592593,0.7772511848341233,63,21,26,82
Video36,192,192,0,0,0.7291666666666666,0.7291666666666666,100,0.7790697674418605,0.67,0.7204301075268817,92,0.6886792452830188,0.7934782608695652,0.7373737373737372,67,33,19,73
Video37,192,192,0,0,0.8177083333333334,0.8177083333333334,98,0.8620689655172413,0.7653061224489796,0.8108108108108109,94,0.780952380952381,0.8723404255319149,0.8241206030150755,75,23,12,82
Video38,192,192,0,0,0.75,0.75,84,0.68,0.8095238095238095,0.7391304347826089,108,0.8260869565217391,0.7037037037037037,0.76,68,16,32,76
Video39,192,192,0,0,0.7552083333333334,0.7552083333333334,98,0.7297297297297297,0.826530612244898,0.7751196172248804,94,0.7901234567901234,0.6808510638297872,0.7314285714285713,81,17,30,64
Video40,192,192,0,0,0.78125,0.78125,105,0.8387096774193549,0.7428571428571429,0.787878787878788,87,0.7272727272727273,0.8275862068965517,0.7741935483870968,78,27,15,72
Video41,192,192,0,0,0.734375,0.734375,89,0.7159090909090909,0.7078651685393258,0.711864406779661,103,0.75,0.7572815533980582,0.753623188405797,63,26,25,78
Video42,192,192,0,0,0.7916666666666666,0.7916666666666666,98,0.8625,0.7040816326530612,0.7752808988764046,94,0.7410714285714286,0.8829787234042553,0.8058252427184466,69,29,11,83
Video43,192,192,0,0,0.7916666666666666,0.7916666666666666,111,0.8380952380952381,0.7927927927927928,0.8148148148148148,81,0.735632183908046,0.7901234567901234,0.761904761904762,88,23,17,64
Video44,192,192,0,0,0.8489583333333334,0.8489583333333334,95,0.8928571428571429,0.7894736842105263,0.8379888268156424,97,0.8148148148148148,0.9072164948453608,0.8585365853658536,75,20,9,88
Video45,192,192,0,0,0.7760416666666666,0.7760416666666666,102,0.7565217391304347,0.8529411764705882,0.8018433179723502,90,0.8051948051948052,0.6888888888888889,0.7425149700598802,87,15,28,62
Video46,192,192,0,0,0.78125,0.78125,99,0.7878787878787878,0.7878787878787878,0.7878787878787878,93,0.7741935483870968,0.7741935483870968,0.7741935483870968,78,21,21,72
Video47,192,192,0,0,0.6875,0.6875,93,0.6410256410256411,0.8064516129032258,0.7142857142857142,99,0.76,0.5757575757575758,0.6551724137931034,75,18,42,57
Video48,192,192,0,0,0.7135416666666666,0.7135416666666666,87,0.6632653061224489,0.7471264367816092,0.7027027027027026,105,0.7659574468085106,0.6857142857142857,0.7236180904522613,65,22,33,72
Video49,192,192,0,0,0.8333333333333334,0.8333333333333334,88,0.8255813953488372,0.8068181818181818,0.8160919540229885,104,0.839622641509434,0.8557692307692307,0.8476190476190476,71,17,15,89
Video50,192,192,0,0,0.8958333333333334,0.8958333333333334,88,0.8469387755102041,0.9431818181818182,0.8924731182795699,104,0.9468085106382979,0.8557692307692307,0.898989898989899,83,5,15,89
Video51,192,192,0,0,0.8333333333333334,0.8333333333333334,93,0.7961165048543689,0.8817204301075269,0.836734693877551,99,0.8764044943820225,0.7878787878787878,0.8297872340425531,82,11,21,78
Video52,192,192,0,0,0.7395833333333334,0.7395833333333334,95,0.6991150442477876,0.8315789473684211,0.7596153846153847,97,0.7974683544303798,0.6494845360824743,0.7159090909090909,79,16,34,63
Video53,192,192,0,0,0.7864583333333334,0.7864583333333334,99,0.7685185185185185,0.8383838383838383,0.8019323671497585,93,0.8095238095238095,0.7311827956989247,0.768361581920904,83,16,25,68
Video54,192,192,0,0,0.765625,0.765625,90,0.7419354838709677,0.7666666666666667,0.7540983606557377,102,0.7878787878787878,0.7647058823529411,0.7761194029850745,69,21,24,78
Video55,192,192,0,0,0.828125,0.828125,94,0.801980198019802,0.8617021276595744,0.8307692307692307,98,0.8571428571428571,0.7959183673469388,0.8253968253968254,81,13,20,78
Video56,192,192,0,0,0.8645833333333334,0.8645833333333334,95,0.8556701030927835,0.8736842105263158,0.8645833333333334,97,0.8736842105263158,0.8556701030927835,0.8645833333333334,83,12,14,83
Video57,192,192,0,0,0.8333333333333334,0.8333333333333334,91,0.8105263157894737,0.8461538461538461,0.8279569892473119,101,0.8556701030927835,0.8217821782178217,0.8383838383838383,77,14,18,83
Video58,192,192,0,0,0.8697916666666666,0.8697916666666666,88,0.8705882352941177,0.8409090909090909,0.8554913294797689,104,0.8691588785046729,0.8942307692307693,0.881516587677725,74,14,11,93
Video59,192,192,0,0,0.78125,0.78125,111,0.9058823529411765,0.6936936936936937,0.7857142857142858,81,0.6822429906542056,0.9012345679012346,0.776595744680851,77,34,8,73
Video60,192,192,0,0,0.7552083333333334,0.7552083333333334,98,0.7741935483870968,0.7346938775510204,0.7539267015706805,94,0.7373737373737373,0.776595744680851,0.7564766839378237,72,26,21,73
Video61,192,192,0,0,0.8177083333333334,0.8177083333333334,106,0.8317757009345794,0.839622641509434,0.8356807511737089,86,0.8,0.7906976744186046,0.7953216374269007,89,17,18,68
Video62,192,192,0,0,0.7447916666666666,0.7447916666666666,88,0.7052631578947368,0.7613636363636364,0.7322404371584699,104,0.7835051546391752,0.7307692307692307,0.7562189054726368,67,21,28,76
Video63,192,192,0,0,0.7083333333333334,0.7083333333333334,91,0.7160493827160493,0.6373626373626373,0.6744186046511628,101,0.7027027027027027,0.7722772277227723,0.7358490566037735,58,33,23,78
Video64,192,192,0,0,0.7864583333333334,0.7864583333333334,95,0.7872340425531915,0.7789473684210526,0.783068783068783,97,0.7857142857142857,0.7938144329896907,0.7897435897435898,74,21,20,77
Video65,192,192,0,0,0.8125,0.8125,83,0.7640449438202247,0.8192771084337349,0.7906976744186045,109,0.8543689320388349,0.8073394495412844,0.830188679245283,68,15,21,88
Video66,192,192,0,0,0.7552083333333334,0.7552083333333334,92,0.7272727272727273,0.782608695652174,0.7539267015706806,100,0.7849462365591398,0.73,0.7564766839378239,72,20,27,73
Video67,192,192,0,0,0.78125,0.78125,98,0.7857142857142857,0.7857142857142857,0.7857142857142857,94,0.776595744680851,0.776595744680851,0.776595744680851,77,21,21,73
Video68,192,192,0,0,0.7864583333333334,0.7864583333333334,94,0.8354430379746836,0.7021276595744681,0.7630057803468209,98,0.7522123893805309,0.8673469387755102,0.8056872037914692,66,28,13,85
Video69,192,192,0,0,0.8385416666666666,0.8385416666666666,83,0.782608695652174,0.8674698795180723,0.822857142857143,109,0.89,0.8165137614678899,0.8516746411483254,72,11,20,89
Video70,192,192,0,0,0.8125,0.8125,93,0.9130434782608695,0.6774193548387096,0.7777777777777777,99,0.7560975609756098,0.9393939393939394,0.8378378378378378,63,30,6,93
Video71,192,192,0,0,0.7604166666666666,0.7604166666666666,101,0.8313253012048193,0.6831683168316832,0.75,91,0.7064220183486238,0.8461538461538461,0.7699999999999999,69,32,14,77
Video72,192,192,0,0,0.8020833333333334,0.8020833333333334,105,0.8073394495412844,0.8380952380952381,0.822429906542056,87,0.7951807228915663,0.7586206896551724,0.7764705882352942,88,17,21,66
Video73,192,192,0,0,0.734375,0.734375,84,0.6701030927835051,0.7738095238095238,0.718232044198895,108,0.8,0.7037037037037037,0.7487684729064039,65,19,32,76
Video74,192,192,0,0,0.7760416666666666,0.7760416666666666,99,0.78,0.7878787878787878,0.7839195979899497,93,0.7717391304347826,0.7634408602150538,0.7675675675675675,78,21,22,71
Video75,192,192,0,0,0.8489583333333334,0.8489583333333334,99,0.8723404255319149,0.8282828282828283,0.8497409326424871,93,0.826530612244898,0.8709677419354839,0.8481675392670157,82,17,12,81
Video76,192,192,0,0,0.7708333333333334,0.7708333333333334,97,0.7676767676767676,0.7835051546391752,0.7755102040816326,95,0.7741935483870968,0.7578947368421053,0.7659574468085107,76,21,23,72
Video77,192,192,0,0,0.828125,0.828125,111,0.8362068965517241,0.8738738738738738,0.8546255506607928,81,0.8157894736842105,0.7654320987654321,0.7898089171974522,97,14,19,62
Video78,192,192,0,0,0.7916666666666666,0.7916666666666666,94,0.7755102040816326,0.8085106382978723,0.7916666666666665,98,0.8085106382978723,0.7755102040816326,0.7916666666666665,76,18,22,76
Video79,192,192,0,0,0.8020833333333334,0.8020833333333334,87,0.788235294117647,0.7701149425287356,0.7790697674418604,105,0.8130841121495327,0.8285714285714286,0.820754716981132,67,20,18,87
Video80,192,192,0,0,0.7760416666666666,0.7760416666666666,92,0.7525773195876289,0.7934782608695652,0.7724867724867726,100,0.8,0.76,0.7794871794871796,73,19,24,76
Video81,192,192,0,0,0.6666666666666666,0.6666666666666666,84,0.6086956521739131,0.6666666666666666,0.6363636363636365,108,0.72,0.6666666666666666,0.6923076923076923,56,28,36,72
Video82,192,192,0,0,0.8020833333333334,0.8020833333333334,94,0.7978723404255319,0.7978723404255319,0.7978723404255319,98,0.8061224489795918,0.8061224489795918,0.806122448979592,75,19,19,79
Video83,192,192,0,0,0.8385416666666666,0.8385416666666666,103,0.8529411764705882,0.8446601941747572,0.848780487804878,89,0.8222222222222222,0.8314606741573034,0.8268156424581005,87,16,15,74
Video84,192,192,0,0,0.78125,0.78125,107,0.7927927927927928,0.822429906542056,0.8073394495412843,85,0.7654320987654321,0.7294117647058823,0.7469879518072289,88,19,23,62
Video85,192,192,0,0,0.7916666666666666,0.7916666666666666,101,0.7798165137614679,0.8415841584158416,0.8095238095238095,91,0.8072289156626506,0.7362637362637363,0.7701149425287357,85,16,24,67
Video86,192,192,0,0,0.8541666666666666,0.8541666666666666,97,0.8349514563106796,0.8865979381443299,0.86,95,0.8764044943820225,0.8210526315789474,0.8478260869565217,86,11,17,78
Video87,192,192,0,0,0.7916666666666666,0.7916666666666666,101,0.7904761904761904,0.8217821782178217,0.8058252427184466,91,0.7931034482758621,0.7582417582417582,0.7752808988764045,83,18,22,69
Video88,192,192,0,0,0.7395833333333334,0.7395833333333334,103,0.7623762376237624,0.7475728155339806,0.7549019607843138,89,0.7142857142857143,0.7303370786516854,0.7222222222222223,77,26,24,65
