video_id,n_samples,valid_predictions,invalid_predictions,empty_raw_outputs,accuracy,precision_macro,recall_macro,f1_macro,actual_0_pred_0,actual_0_pred_1,actual_1_pred_0,actual_1_pred_1
Video52,192,192,0,0,0.4947916666666667,0.24739583333333334,0.5,0.3310104529616725,95,0,97,0
Video53,192,192,0,0,0.5104166666666666,0.25654450261780104,0.494949494949495,0.3379310344827586,98,1,93,0
Video54,192,192,0,0,0.46875,0.234375,0.5,0.3191489361702128,90,0,102,0
Video55,192,192,0,0,0.4895833333333333,0.24479166666666666,0.5,0.3286713286713287,94,0,98,0
Video56,192,192,0,0,0.4947916666666667,0.24739583333333334,0.5,0.3310104529616725,95,0,97,0
Video57,192,192,0,0,0.4739583333333333,0.23697916666666666,0.5,0.3215547703180212,91,0,101,0
Video58,192,192,0,0,0.4635416666666667,0.7303664921465969,0.5048076923076923,0.32493599590373784,88,0,103,1
Video59,192,192,0,0,0.578125,0.2890625,0.5,0.36633663366336633,111,0,81,0
Video60,192,192,0,0,0.5104166666666666,0.2552083333333333,0.5,0.33793103448275863,98,0,94,0
Video61,192,192,0,0,0.5572916666666666,0.7774869109947644,0.5058139534883721,0.3683966097759201,106,0,85,1
Video62,192,192,0,0,0.453125,0.42727272727272725,0.4925699300699301,0.3274395329441201,85,3,102,2
Video63,192,192,0,0,0.4739583333333333,0.23697916666666666,0.5,0.3215547703180212,91,0,101,0
Video64,192,192,0,0,0.4947916666666667,0.24739583333333334,0.5,0.3310104529616725,95,0,97,0
Video65,192,192,0,0,0.4375,0.5502645502645502,0.5031502155410633,0.31932773109243695,82,1,107,2
Video66,192,192,0,0,0.4791666666666667,0.23958333333333334,0.5,0.323943661971831,92,0,100,0
Video67,192,192,0,0,0.5104166666666666,0.2552083333333333,0.5,0.33793103448275863,98,0,94,0
Video68,192,192,0,0,0.4895833333333333,0.24479166666666666,0.5,0.3286713286713287,94,0,98,0
Video69,192,192,0,0,0.4322916666666667,0.21614583333333334,0.5,0.3018181818181818,83,0,109,0
Video70,192,192,0,0,0.484375,0.2421875,0.5,0.3263157894736842,93,0,99,0
Video71,192,192,0,0,0.5260416666666666,0.2630208333333333,0.5,0.3447098976109215,101,0,91,0
Video72,192,192,0,0,0.546875,0.2734375,0.5,0.35353535353535354,105,0,87,0
Video73,192,192,0,0,0.4375,0.21875,0.5,0.30434782608695654,84,0,108,0
Video74,192,192,0,0,0.515625,0.2578125,0.5,0.3402061855670103,99,0,93,0
Video75,192,192,0,0,0.515625,0.2578125,0.5,0.3402061855670103,99,0,93,0
Video76,192,192,0,0,0.5104166666666666,0.7539267015706806,0.5052631578947369,0.34722222222222227,97,0,94,1
Video77,192,192,0,0,0.578125,0.2890625,0.5,0.36633663366336633,111,0,81,0
Video78,192,192,0,0,0.4895833333333333,0.24479166666666666,0.5,0.3286713286713287,94,0,98,0
Video79,192,192,0,0,0.453125,0.2265625,0.5,0.3118279569892473,87,0,105,0
Video80,192,192,0,0,0.4791666666666667,0.23958333333333334,0.5,0.323943661971831,92,0,100,0
Video81,192,192,0,0,0.4375,0.21875,0.5,0.30434782608695654,84,0,108,0
Video82,192,192,0,0,0.484375,0.24345549738219896,0.4946808510638298,0.3263157894736842,93,1,98,0
Video83,192,192,0,0,0.5260416666666666,0.2657894736842105,0.49029126213592233,0.34470989761092147,101,2,89,0
Video84,192,192,0,0,0.5572916666666666,0.2786458333333333,0.5,0.35785953177257523,107,0,85,0
Video85,192,192,0,0,0.5208333333333334,0.4285714285714286,0.49559351539549557,0.35201760821716804,99,2,90,1
Video86,192,192,0,0,0.5104166666666666,0.5873015873015872,0.505371676614216,0.3560724989296418,96,1,93,2
Video87,192,192,0,0,0.53125,0.7643979057591623,0.5054945054945055,0.35675997617629535,101,0,90,1
Video88,192,192,0,0,0.53125,0.2670157068062827,0.49514563106796117,0.3469387755102041,102,1,89,0
Video89,192,192,0,0,0.5208333333333334,0.2604166666666667,0.5,0.3424657534246575,100,0,92,0
Video90,192,192,0,0,0.5520833333333334,0.7748691099476439,0.5057471264367817,0.36609336609336607,105,0,86,1
Video91,192,192,0,0,0.5520833333333334,0.2760416666666667,0.5,0.35570469798657717,106,0,86,0
Video92,192,192,0,0,0.5364583333333334,0.5184210526315789,0.5007636085960511,0.359111877883209,102,1,88,1
Video93,192,192,0,0,0.5260416666666666,0.2671957671957672,0.4855769230769231,0.34470989761092147,101,3,88,0
Video94,192,192,0,0,0.5,0.5,0.5,0.3423719138004852,95,1,95,1
Video95,192,192,0,0,0.5,0.7473684210526316,0.5102040816326531,0.35098591549295777,94,0,96,2
Video96,192,192,0,0,0.4895833333333333,0.24479166666666666,0.5,0.3286713286713287,94,0,98,0
Video97,192,192,0,0,0.46875,0.234375,0.5,0.3191489361702128,90,0,102,0
Video98,192,192,0,0,0.5260416666666666,0.2630208333333333,0.5,0.3447098976109215,101,0,91,0
Video99,192,192,0,0,0.4635416666666667,0.23298429319371727,0.49444444444444446,0.3167259786476868,89,1,102,0
Video100,192,192,0,0,0.5104166666666666,0.2552083333333333,0.5,0.33793103448275863,98,0,94,0
