video_id,sample_count,valid_prediction_count,invalid_prediction_count,invalid_prediction_rate,overall_accuracy,valid_accuracy,precision_label_0,recall_label_0,f1_label_0,precision_label_1,recall_label_1,f1_label_1,true_negative,false_positive,false_negative,true_positive
Video54,192,192,0,0.0,0.734375,0.734375,0.693069306930693,0.7777777777777778,0.7329842931937172,0.7802197802197802,0.696078431372549,0.7357512953367875,70,20,31,71
Video55,192,192,0,0.0,0.734375,0.734375,0.7009345794392523,0.7978723404255319,0.7462686567164178,0.7764705882352941,0.673469387755102,0.7213114754098361,75,19,32,66
Video56,192,192,0,0.0,0.5989583333333334,0.5989583333333334,0.5849056603773585,0.6526315789473685,0.6169154228855722,0.6162790697674418,0.5463917525773195,0.5792349726775955,62,33,44,53
Video57,192,192,0,0.0,0.7760416666666666,0.7760416666666666,0.7307692307692307,0.8351648351648352,0.7794871794871795,0.8295454545454546,0.7227722772277227,0.7724867724867726,76,15,28,73
Video58,192,192,0,0.0,0.6979166666666666,0.6979166666666666,0.6744186046511628,0.6590909090909091,0.6666666666666666,0.7169811320754716,0.7307692307692307,0.7238095238095238,58,30,28,76
Video59,192,192,0,0.0,0.6875,0.6875,0.717948717948718,0.7567567567567568,0.736842105263158,0.64,0.5925925925925926,0.6153846153846153,84,27,33,48
Video60,192,192,0,0.0,0.6770833333333334,0.6770833333333334,0.6836734693877551,0.6836734693877551,0.6836734693877551,0.6702127659574468,0.6702127659574468,0.6702127659574468,67,31,31,63
Video61,192,192,0,0.0,0.6354166666666666,0.6354166666666666,0.65,0.7358490566037735,0.6902654867256638,0.6111111111111112,0.5116279069767442,0.5569620253164557,78,28,42,44
Video62,192,192,0,0.0,0.6770833333333334,0.6770833333333334,0.6181818181818182,0.7727272727272727,0.6868686868686869,0.7560975609756098,0.5961538461538461,0.6666666666666667,68,20,42,62
Video63,192,192,0,0.0,0.6666666666666666,0.6666666666666666,0.6363636363636364,0.6923076923076923,0.663157894736842,0.6989247311827957,0.6435643564356436,0.6701030927835052,63,28,36,65
Video64,192,192,0,0.0,0.703125,0.703125,0.69,0.7263157894736842,0.7076923076923077,0.717391304347826,0.6804123711340206,0.6984126984126985,69,26,31,66
Video65,192,192,0,0.0,0.6614583333333334,0.6614583333333334,0.59,0.7108433734939759,0.644808743169399,0.7391304347826086,0.6238532110091743,0.6766169154228856,59,24,41,68
Video66,192,192,0,0.0,0.7083333333333334,0.7083333333333334,0.6764705882352942,0.75,0.7113402061855669,0.7444444444444445,0.67,0.7052631578947369,69,23,33,67
Video67,192,192,0,0.0,0.65625,0.65625,0.6428571428571429,0.7346938775510204,0.6857142857142857,0.675,0.574468085106383,0.6206896551724138,72,26,40,54
Video68,192,192,0,0.0,0.625,0.625,0.6018518518518519,0.6914893617021277,0.6435643564356436,0.6547619047619048,0.5612244897959183,0.6043956043956044,65,29,43,55
Video69,192,192,0,0.0,0.6822916666666666,0.6822916666666666,0.6078431372549019,0.7469879518072289,0.6702702702702701,0.7666666666666667,0.6330275229357798,0.6934673366834171,62,21,40,69
Video70,192,192,0,0.0,0.6666666666666666,0.6666666666666666,0.6407766990291263,0.7096774193548387,0.6734693877551021,0.6966292134831461,0.6262626262626263,0.6595744680851064,66,27,37,62
Video71,192,192,0,0.0,0.71875,0.71875,0.7473684210526316,0.7029702970297029,0.7244897959183674,0.6907216494845361,0.7362637362637363,0.7127659574468086,71,30,24,67
Video72,192,192,0,0.0,0.5677083333333334,0.5677083333333334,0.5964912280701754,0.6476190476190476,0.6210045662100456,0.5256410256410257,0.47126436781609193,0.49696969696969695,68,37,46,41
Video73,192,192,0,0.0,0.5625,0.5625,0.5,0.6309523809523809,0.5578947368421052,0.6395348837209303,0.5092592592592593,0.5670103092783505,53,31,53,55
Video74,192,192,0,0.0,0.5989583333333334,0.5989583333333334,0.6122448979591837,0.6060606060606061,0.6091370558375634,0.5851063829787234,0.5913978494623656,0.5882352941176471,60,39,38,55
Video75,192,192,0,0.0,0.765625,0.765625,0.75,0.8181818181818182,0.7826086956521738,0.7857142857142857,0.7096774193548387,0.7457627118644068,81,18,27,66
Video76,192,192,0,0.0,0.703125,0.703125,0.6886792452830188,0.7525773195876289,0.7192118226600984,0.7209302325581395,0.6526315789473685,0.6850828729281767,73,24,33,62
Video77,192,192,0,0.0,0.7552083333333334,0.7552083333333334,0.7711864406779662,0.8198198198198198,0.7947598253275109,0.7297297297297297,0.6666666666666666,0.6967741935483871,91,20,27,54
Video78,192,192,0,0.0,0.7083333333333334,0.7083333333333334,0.6637931034482759,0.8191489361702128,0.7333333333333334,0.7763157894736842,0.6020408163265306,0.6781609195402298,77,17,39,59
Video79,192,192,0,0.0,0.6770833333333334,0.6770833333333334,0.6262626262626263,0.7126436781609196,0.6666666666666667,0.7311827956989247,0.6476190476190476,0.6868686868686869,62,25,37,68
Video80,192,192,0,0.0,0.6927083333333334,0.6927083333333334,0.6486486486486487,0.782608695652174,0.7093596059113302,0.7530864197530864,0.61,0.6740331491712707,72,20,39,61
Video81,192,192,0,0.0,0.5677083333333334,0.5677083333333334,0.504950495049505,0.6071428571428571,0.5513513513513513,0.6373626373626373,0.5370370370370371,0.5829145728643216,51,33,50,58
Video82,192,192,0,0.0,0.6979166666666666,0.6979166666666666,0.6956521739130435,0.6808510638297872,0.6881720430107526,0.7,0.7142857142857143,0.7070707070707072,64,30,28,70
Video83,192,192,0,0.0,0.7291666666666666,0.7291666666666666,0.7297297297297297,0.7864077669902912,0.7570093457943925,0.7283950617283951,0.6629213483146067,0.6941176470588235,81,22,30,59
Video84,192,192,0,0.0,0.6666666666666666,0.6666666666666666,0.6902654867256637,0.7289719626168224,0.709090909090909,0.6329113924050633,0.5882352941176471,0.6097560975609757,78,29,35,50
Video85,192,192,0,0.0,0.796875,0.796875,0.8297872340425532,0.7722772277227723,0.7999999999999999,0.7653061224489796,0.8241758241758241,0.7936507936507936,78,23,16,75
Video86,192,192,0,0.0,0.6614583333333334,0.6614583333333334,0.66,0.6804123711340206,0.6700507614213199,0.6630434782608695,0.6421052631578947,0.6524064171122995,66,31,34,61
