video_id,n_samples,valid_predictions,invalid_predictions,empty_raw_outputs,accuracy,precision_macro,recall_macro,f1_macro,actual_0_pred_0,actual_0_pred_1,actual_1_pred_0,actual_1_pred_1
Video22,192,192,0,0,0.484375,0.5852130325814536,0.5337301587301587,0.42216142270861834,78,6,93,15
Video23,192,192,0,0,0.46875,0.49255398361876396,0.4956293706293706,0.423117709437964,72,16,86,18
Video24,192,192,0,0,0.515625,0.5107142857142857,0.5084718149234277,0.48474967537151925,73,26,67,26
Video25,192,192,0,0,0.4427083333333333,0.45405982905982906,0.4717569786535304,0.4004027668330269,68,19,88,17
Video26,192,192,0,0,0.5260416666666666,0.5152439024390244,0.5076161462300076,0.4459489456159822,87,14,77,14
Video27,192,192,0,0,0.5052083333333334,0.53125,0.5095496473141616,0.40436926493158737,88,7,88,9
Video28,192,192,0,0,0.484375,0.5033920206751736,0.5022875816993464,0.44845196297478457,71,19,80,22
Video29,192,192,0,0,0.4791666666666667,0.44199559206571826,0.4685565330726621,0.40446650124069483,80,19,81,12
Video30,192,192,0,0,0.46875,0.46875,0.4826086956521739,0.41125541125541126,75,17,85,15
Video31,192,192,0,0,0.4791666666666667,0.5135329341317365,0.506163412239555,0.4140625,78,11,89,14
Video32,192,192,0,0,0.5104166666666666,0.5714285714285714,0.5193226226660878,0.40756302521008403,89,5,89,9
Video33,192,192,0,0,0.5,0.5351384240949194,0.5125448028673835,0.41276921116350196,85,8,88,11
Video34,192,192,0,0,0.4895833333333333,0.510194624652456,0.5047826086956522,0.421188630490956,80,12,86,14
Video35,192,192,0,0,0.4895833333333333,0.5617283950617283,0.533068783068783,0.4457405443619653,74,10,88,20
Video36,192,192,0,0,0.4947916666666667,0.4614977787180029,0.4802173913043478,0.41476290733117555,83,17,80,12
Video37,192,192,0,0,0.4895833333333333,0.475,0.4834997828918801,0.4383283582089552,76,22,76,18
Video38,192,192,0,0,0.4583333333333333,0.5052264808362369,0.5026455026455026,0.4079696394686907,72,12,92,16
Video39,192,192,0,0,0.484375,0.46054888507718694,0.4775293095961789,0.41762921658139035,79,19,80,14
Video40,192,192,0,0,0.4895833333333333,0.40875420875420876,0.4555008210180624,0.38869395711500976,86,19,79,8
Video41,192,192,0,0,0.4322916666666667,0.40773809523809523,0.4594196574670012,0.35880388492294496,74,15,94,9
Video42,192,192,0,0,0.4739583333333333,0.44786399302528335,0.4675423360833695,0.4148990737108892,76,22,79,15
Video43,192,192,0,0,0.5208333333333334,0.4516833484986351,0.47047047047047047,0.43180648481729283,88,23,69,12
Video44,192,192,0,0,0.4947916666666667,0.4969879518072289,0.49858925664677156,0.4198673021212971,82,13,84,13
Video45,192,192,0,0,0.5104166666666666,0.47023809523809523,0.48692810457516345,0.41364522417154,88,14,80,10
Video46,192,192,0,0,0.5052083333333334,0.490625,0.4947865754317367,0.4366023166023166,82,17,78,15
Video47,192,192,0,0,0.5,0.5232323232323233,0.5112414467253177,0.4330011074197121,81,12,84,15
Video48,192,192,0,0,0.4739583333333333,0.5019736842105263,0.5013136288998358,0.44042706680132737,69,18,83,22
Video49,192,192,0,0,0.4479166666666667,0.456813104988831,0.47465034965034963,0.40049487451396254,70,18,88,16
Video50,192,192,0,0,0.4895833333333333,0.53125,0.5174825174825175,0.44212523719165087,75,13,85,19
Video51,192,192,0,0,0.515625,0.5576923076923077,0.5270446399478658,0.44846332046332044,83,10,83,16
Video52,192,192,0,0,0.5,0.5104427736006684,0.5040694519804666,0.41276921116350196,85,10,86,11
Video53,192,192,0,0,0.5208333333333334,0.5198653198653198,0.5096122515477355,0.44242424242424244,86,13,79,14
Video54,192,192,0,0,0.4895833333333333,0.5336898395721925,0.5137254901960784,0.4163771712158809,81,9,89,13
Video55,192,192,0,0,0.4583333333333333,0.3788121990369181,0.467216673903604,0.34453781512605036,84,10,94,4
Video56,192,192,0,0,0.5104166666666666,0.5273958112968056,0.5140531741725448,0.44481358434846807,82,13,81,16
Video57,192,192,0,0,0.484375,0.5198863636363636,0.5060929169840062,0.3915298184961107,84,7,92,9
Video58,192,192,0,0,0.4375,0.4314179796107507,0.46765734265734266,0.3720169594185342,73,15,93,11
Video59,192,192,0,0,0.5885416666666666,0.5806581059390048,0.5223556890223557,0.44753232562374795,105,6,73,8
Video60,192,192,0,0,0.5104166666666666,0.5061728395061729,0.5032566217976553,0.44019851116625314,83,15,79,15
Video61,192,192,0,0,0.578125,0.5841750841750841,0.5411364633611233,0.4921464258890377,95,11,70,16
Video62,192,192,0,0,0.484375,0.5335329341317365,0.5152972027972028,0.42216142270861834,78,10,89,15
Video63,192,192,0,0,0.5,0.5257192676547515,0.516048308127516,0.457051961823966,75,16,80,21
Video64,192,192,0,0,0.484375,0.4732142857142857,0.48827997829625613,0.40269616315243695,82,13,86,11
Video65,192,192,0,0,0.453125,0.49938271604938267,0.4996683983640986,0.408016443987667,70,13,92,17
Video66,192,192,0,0,0.4791666666666667,0.48823529411764705,0.49521739130434783,0.39932423976974096,81,11,89,11
Video67,192,192,0,0,0.4895833333333333,0.4545454545454546,0.481545809813287,0.3947503860010293,85,13,85,9
Video68,192,192,0,0,0.4479166666666667,0.40500463392029656,0.45549283543204516,0.3687344913151365,77,17,89,9
Video69,192,192,0,0,0.4427083333333333,0.49011627906976746,0.4962418481264508,0.3754673962608299,74,9,98,11
Video70,192,192,0,0,0.46875,0.46183129633340014,0.47930922124470515,0.4069049061175045,76,17,85,14
Video71,192,192,0,0,0.5572916666666666,0.5623809523809524,0.5427592209770428,0.5111284186562022,83,18,67,24
Video72,192,192,0,0,0.4895833333333333,0.43257506824385805,0.45944170771756976,0.41133775497434616,82,23,75,12
Video73,192,192,0,0,0.4583333333333333,0.5083410565338276,0.503968253968254,0.4039402985074627,73,11,93,15
Video74,192,192,0,0,0.453125,0.3755792400370713,0.4416748126425546,0.36071032186459484,80,19,86,7
Video75,192,192,0,0,0.5260416666666666,0.5344919786096256,0.5140110785272076,0.4352028446743171,89,10,81,12
Video76,192,192,0,0,0.5104166666666666,0.5132219166490375,0.5067824199674443,0.4401985111662531,83,14,80,15
Video77,192,192,0,0,0.578125,0.5457317073170731,0.5233566900233566,0.48116763969974985,97,14,67,14
Video78,192,192,0,0,0.453125,0.3919987830848798,0.4614633087277464,0.35465283779890516,81,13,92,6
Video79,192,192,0,0,0.4322916666666667,0.4180232558139535,0.46912972085385873,0.35357528957528955,75,12,97,8
Video80,192,192,0,0,0.4635416666666667,0.45726676539031097,0.47804347826086957,0.39881440948472413,76,16,87,13
Video81,192,192,0,0,0.4479166666666667,0.48271604938271606,0.49074074074074076,0.4004948745139625,70,14,92,16
Video82,192,192,0,0,0.4895833333333333,0.49295774647887325,0.4945722970039079,0.46129180027485117,69,25,73,25
Video83,192,192,0,0,0.5052083333333334,0.4586236933797909,0.47927348096432854,0.4161144722942476,86,17,78,11
Video84,192,192,0,0,0.5572916666666666,0.5339506172839505,0.5181418361737218,0.4724422175529336,92,15,70,15
Video85,192,192,0,0,0.53125,0.5254918552993442,0.5131106517245131,0.4545454545454546,87,14,76,15
Video86,192,192,0,0,0.5,0.4972793629727936,0.49777536625067825,0.47487179487179493,69,28,68,27
Video87,192,192,0,0,0.5208333333333334,0.5088031012760459,0.5059297138505059,0.46897546897546905,80,21,71,20
Video88,192,192,0,0,0.5,0.47104729202434836,0.47976437220464707,0.4458874458874459,78,25,71,18
Video89,192,192,0,0,0.5,0.475,0.4860869565217391,0.428287841191067,82,18,78,14
Video90,192,192,0,0,0.5885416666666666,0.6110627177700348,0.5558292282430214,0.50968159043155,95,10,69,18
Video91,192,192,0,0,0.546875,0.5195286195286195,0.5095436594997806,0.454527642621559,92,14,73,13
Video92,192,192,0,0,0.5,0.4457912457912458,0.47365550343623863,0.4071024189397839,86,17,79,10
Video93,192,192,0,0,0.5260416666666666,0.5006974716652136,0.5004370629370629,0.46032432432432435,84,20,71,17
Video94,192,192,0,0,0.4895833333333333,0.4829059829059829,0.48958333333333337,0.4343434343434343,77,19,79,17
Video95,192,192,0,0,0.4739583333333333,0.4684394071490846,0.48035171515414676,0.42311468094600624,74,20,81,17
Video96,192,192,0,0,0.5260416666666666,0.5577472841623785,0.5328918801563178,0.47282985849198933,81,13,78,20
