video_id,total_examples,valid_answers,invalid_answers,empty_answers,correct_answers,overall_accuracy,valid_only_accuracy,precision_label_0,recall_label_0,f1_label_0,precision_label_1,recall_label_1,f1_label_1,true_0_pred_0,true_0_pred_1,true_1_pred_0,true_1_pred_1
Video25,192,192,0,0,160,0.8333333333333334,0.8333333333333334,0.8160919540229885,0.8160919540229885,0.8160919540229885,0.8476190476190476,0.8476190476190476,0.8476190476190476,71,16,16,89
Video26,192,192,0,0,161,0.8385416666666666,0.8385416666666666,0.8723404255319149,0.8118811881188119,0.841025641025641,0.8061224489795918,0.8681318681318682,0.8359788359788359,82,19,12,79
Video27,192,192,0,0,161,0.8385416666666666,0.8385416666666666,0.872093023255814,0.7894736842105263,0.8287292817679558,0.8113207547169812,0.8865979381443299,0.8472906403940886,75,20,11,86
Video28,192,192,0,0,156,0.8125,0.8125,0.8068181818181818,0.7888888888888889,0.797752808988764,0.8173076923076923,0.8333333333333334,0.825242718446602,71,19,17,85
Video29,192,192,0,0,150,0.78125,0.78125,0.8,0.7676767676767676,0.7835051546391752,0.7628865979381443,0.7956989247311828,0.7789473684210526,76,23,19,74
Video30,192,192,0,0,160,0.8333333333333334,0.8333333333333334,0.8947368421052632,0.7391304347826086,0.8095238095238095,0.7931034482758621,0.92,0.851851851851852,68,24,8,92
Video31,192,192,0,0,153,0.796875,0.796875,0.8205128205128205,0.7191011235955056,0.7664670658682635,0.7807017543859649,0.8640776699029126,0.8202764976958525,64,25,14,89
Video32,192,192,0,0,162,0.84375,0.84375,0.8478260869565217,0.8297872340425532,0.8387096774193549,0.84,0.8571428571428571,0.8484848484848485,78,16,14,84
Video33,192,192,0,0,154,0.8020833333333334,0.8020833333333334,0.8395061728395061,0.7311827956989247,0.7816091954022988,0.7747747747747747,0.8686868686868687,0.8190476190476191,68,25,13,86
Video34,192,192,0,0,156,0.8125,0.8125,0.7916666666666666,0.8260869565217391,0.8085106382978724,0.8333333333333334,0.8,0.816326530612245,76,16,20,80
