video_id,n_samples,valid_free_predictions,invalid_free_predictions,empty_raw_outputs,free_output_accuracy,free_output_valid_accuracy,score_based_accuracy,free_label_0_precision,free_label_0_recall,free_label_0_f1,free_label_1_precision,free_label_1_recall,free_label_1_f1,score_label_0_precision,score_label_0_recall,score_label_0_f1,score_label_1_precision,score_label_1_recall,score_label_1_f1,avg_choice_0_score,avg_choice_1_score,avg_confidence,avg_score_gap,free_vs_score_agreement_rate,free_actual_0_pred_0,free_actual_0_pred_1,free_actual_1_pred_0,free_actual_1_pred_1,score_actual_0_pred_0,score_actual_0_pred_1,score_actual_1_pred_0,score_actual_1_pred_1
Video21,192,192,0,0,0.7135416666666666,0.7135416666666666,0.6302083333333334,0.6274509803921569,0.7901234567901234,0.6994535519125683,0.8111111111111111,0.6576576576576577,0.7263681592039801,0.6,0.37037037037037035,0.4580152671755725,0.6408450704225352,0.8198198198198198,0.7193675889328064,0.337695118037459,0.6623048856854439,0.7821207260712981,0.5642414484196934,0.6041666666666666,64,17,38,73,30,51,20,91
Video22,192,192,0,0,0.7083333333333334,0.7083333333333334,0.5885416666666666,0.6555555555555556,0.7023809523809523,0.6781609195402298,0.7549019607843137,0.7129629629629629,0.7333333333333334,0.5454545454545454,0.35714285714285715,0.43165467625899273,0.6058394160583942,0.7685185185185185,0.6775510204081633,0.34445729508257017,0.6555427116109058,0.7765549995626012,0.5531099924317265,0.6614583333333334,59,25,31,77,30,54,25,83
Video23,192,192,0,0,0.7447916666666666,0.7447916666666666,0.6041666666666666,0.6893203883495146,0.8068181818181818,0.7434554973821991,0.8089887640449438,0.6923076923076923,0.7461139896373058,0.603448275862069,0.3977272727272727,0.4794520547945205,0.6044776119402985,0.7788461538461539,0.6806722689075629,0.34880504234062454,0.6511949624691624,0.7827931748082241,0.5655863448066611,0.6302083333333334,71,17,32,72,35,53,23,81
Video24,192,192,0,0,0.6770833333333334,0.6770833333333334,0.53125,0.6637168141592921,0.7575757575757576,0.7075471698113207,0.6962025316455697,0.5913978494623656,0.6395348837209303,0.5616438356164384,0.41414141414141414,0.47674418604651164,0.5126050420168067,0.6559139784946236,0.5754716981132076,0.41985665791734544,0.5801433482770335,0.7749788720781604,0.5499577379619419,0.6666666666666666,75,24,38,55,41,58,32,61
Video25,192,192,0,0,0.71875,0.71875,0.5416666666666666,0.6701030927835051,0.7471264367816092,0.7065217391304347,0.7684210526315789,0.6952380952380952,0.73,0.4925373134328358,0.3793103448275862,0.42857142857142855,0.568,0.6761904761904762,0.6173913043478261,0.412191572261861,0.5878084328627059,0.777047130279243,0.5540942554339191,0.6145833333333334,65,22,32,73,33,54,34,71
Video26,192,192,0,0,0.6979166666666666,0.6979166666666666,0.5416666666666666,0.7047619047619048,0.7326732673267327,0.7184466019417477,0.6896551724137931,0.6593406593406593,0.6741573033707866,0.6031746031746031,0.37623762376237624,0.4634146341463415,0.5116279069767442,0.7252747252747253,0.6,0.3660001427796639,0.6339998627760602,0.7757746962209543,0.5515493868861844,0.65625,74,27,31,60,38,63,25,66
Video27,192,192,0,0,0.75,0.75,0.6197916666666666,0.7238095238095238,0.8,0.76,0.7816091954022989,0.7010309278350515,0.7391304347826086,0.671875,0.45263157894736844,0.5408805031446541,0.59375,0.7835051546391752,0.6755555555555557,0.3758823864989722,0.6241176241989402,0.7692629126831889,0.5385258146684654,0.640625,76,19,29,68,43,52,21,76
Video28,192,192,0,0,0.640625,0.640625,0.53125,0.5929203539823009,0.7444444444444445,0.6600985221674878,0.7088607594936709,0.5490196078431373,0.6187845303867404,0.5,0.3888888888888889,0.43750000000000006,0.5491803278688525,0.6568627450980392,0.5982142857142857,0.38017570264654904,0.6198243064633667,0.7575928422932824,0.515185675476649,0.6822916666666666,67,23,46,56,35,55,35,67
Video29,192,192,0,0,0.6770833333333334,0.6770833333333334,0.609375,0.6831683168316832,0.696969696969697,0.6900000000000001,0.6703296703296703,0.6559139784946236,0.6630434782608695,0.6818181818181818,0.45454545454545453,0.5454545454545454,0.5714285714285714,0.7741935483870968,0.6575342465753424,0.39475398351141183,0.605246020379127,0.782856167294085,0.5657123306976312,0.7239583333333334,69,30,32,61,45,54,21,72
Video30,192,192,0,0,0.71875,0.71875,0.6197916666666666,0.7021276595744681,0.717391304347826,0.7096774193548387,0.7346938775510204,0.72,0.7272727272727272,0.6507936507936508,0.44565217391304346,0.5290322580645161,0.6046511627906976,0.78,0.6812227074235808,0.37221347733048066,0.6277865323305983,0.7739986755574743,0.5479973414538696,0.6927083333333334,66,26,28,72,41,51,22,78
