video_id,n_samples,valid_predictions,invalid_predictions,empty_raw_outputs,Accuracy,Accuracy_valid_only,Support_0,Predicted_as_0,Precision_0,Recall_0,F1_0,Support_1,Predicted_as_1,Precision_1,Recall_1,F1_1,actual_0_pred_0,actual_0_pred_1,actual_1_pred_0,actual_1_pred_1
Video24,192,192,0,0,0.7447916666666666,0.7447916666666666,99,138,0.6811594202898551,0.9494949494949495,0.7932489451476793,93,54,0.9074074074074074,0.5268817204301075,0.6666666666666666,94,5,44,49
Video25,192,192,0,0,0.7552083333333334,0.7552083333333334,87,126,0.6587301587301587,0.9540229885057471,0.7793427230046948,105,66,0.9393939393939394,0.5904761904761905,0.7251461988304092,83,4,43,62
Video26,192,192,0,0,0.7291666666666666,0.7291666666666666,101,137,0.6788321167883211,0.9207920792079208,0.7815126050420168,91,55,0.8545454545454545,0.5164835164835165,0.6438356164383563,93,8,44,47
Video27,192,192,0,0,0.765625,0.765625,95,122,0.7049180327868853,0.9052631578947369,0.7926267281105991,97,70,0.8714285714285714,0.6288659793814433,0.7305389221556887,86,9,36,61
Video28,192,192,0,0,0.6666666666666666,0.6666666666666666,90,144,0.5902777777777778,0.9444444444444444,0.7264957264957265,102,48,0.8958333333333334,0.4215686274509804,0.5733333333333334,85,5,59,43
Video29,192,192,0,0,0.6927083333333334,0.6927083333333334,99,142,0.6408450704225352,0.9191919191919192,0.7551867219917012,93,50,0.84,0.45161290322580644,0.5874125874125874,91,8,51,42
Video30,192,192,0,0,0.6927083333333334,0.6927083333333334,92,127,0.6299212598425197,0.8695652173913043,0.7305936073059359,100,65,0.8153846153846154,0.53,0.6424242424242425,80,12,47,53
Video31,192,192,0,0,0.7239583333333334,0.7239583333333334,89,120,0.65,0.8764044943820225,0.7464114832535885,103,72,0.8472222222222222,0.5922330097087378,0.6971428571428572,78,11,42,61
Video32,192,192,0,0,0.8020833333333334,0.8020833333333334,94,130,0.7153846153846154,0.9893617021276596,0.8303571428571428,98,62,0.9838709677419355,0.6224489795918368,0.7625,93,1,37,61
Video33,192,192,0,0,0.6822916666666666,0.6822916666666666,93,140,0.6142857142857143,0.9247311827956989,0.7381974248927038,99,52,0.8653846153846154,0.45454545454545453,0.5960264900662251,86,7,54,45
Video34,192,192,0,0,0.703125,0.703125,92,143,0.6223776223776224,0.967391304347826,0.7574468085106383,100,49,0.9387755102040817,0.46,0.6174496644295302,89,3,54,46
Video35,192,192,0,0,0.6614583333333334,0.6614583333333334,84,137,0.5693430656934306,0.9285714285714286,0.7058823529411765,108,55,0.8909090909090909,0.4537037037037037,0.6012269938650306,78,6,59,49
Video36,192,192,0,0,0.7239583333333334,0.7239583333333334,100,133,0.6766917293233082,0.9,0.7725321888412018,92,59,0.8305084745762712,0.532608695652174,0.6490066225165564,90,10,43,49
Video37,192,192,0,0,0.71875,0.71875,98,126,0.6746031746031746,0.8673469387755102,0.7589285714285715,94,66,0.803030303030303,0.5638297872340425,0.6625,85,13,41,53
